composante_scolaire;quadrant;domaine_sensoriel;question_id;label;pour_calcul
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;68;A des réactions émotionnelles violentes quand il/elle n'arrive pas à l'accomplir ou à terminer une tâche.;oui
1;SE;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;69;A des difficultés à interpréter le langage corporel ou les expressions faciales.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;70;Est facilement frustré·e.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;71;A des peurs qui perturbent les routines quotidiennes.;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;72;Montre des signes d'anxiété et/ou de détresse lors de changements de plans et de routines ou lors des modifications survenues par rapport à ses attentes.;oui
1;SE;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;73;A un besoin de protection plus important que les enfants de son âge (pare exemple, est sans défense sur le plan physique ou fonctionnel).;oui
1;EV;Réponses SOCIO-EMOTIONNELLE relatives au traitement de l'information sensorielle;74;Interagit ou participe moins au sein d'un groupe que les € enfants de son âge.;oui
1;EV;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;75;Éprouve des difficultés avec les relations amicales (par exemple à du mal à se faire des ami·e·s où à les garder).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;76;Manque les occasions de contact visuel avec moi au cours des interactions de tous les jours.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;77;A des difficultés à être attentif·ve.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;78;Détourne le regard de ses tâches pour observer tout ce qui se passe dans la pièce.;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;79;Semble ne pas être conscient·e de ce qui se passe dans un environnement actif (par exemple, semble ne pas remarquer qu'il y a eu de l'activité).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;80;Fixe intensément les objets.;oui
1;EV;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;81;Fixe intensément les gens.;oui
1;RE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;82;Regarde chaque personne qui se déplace dans la pièce.;oui
1;RE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;83;Passe d'une chose à une autre, ce qui perturbe ses activités.;oui
1;SE;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;84;Se perd facilement.;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;85;Éprouve des difficultés à trouver des objets dans un endroit encombré (par exemple, des chaussures dans une chambre en désordre, un crayon dans un tiroir de « bric-à-brac »).;oui
1;EN;Réponses ATTENTIONNELLE relatives au traitement de l'information sensorielle;86;Semble ne pas remarquer des personnes qui entrent dans la pièce.;non
